Test Case ID,,BU_001,Test Case Description,,,,,,,
Created By,,,Reviewed By,,,,Version,,1.0,
,,,,,,,,,,
QA Tester’s Log,,,,,,,,,,
,,,,,,,,,,
Tester's Name ,,,Date Tested,,1-Jan-2017,,Test Case (Pass/Fail/Not Executed),,Pass,
,,,,,,,,,,
S #,Prerequisites:,,,,S #,Test Data,,,,
1,Access to Chrome Browser,,,,1,Userid = mg12345,,,,
2,,,,,2,Pass = df12@434c,,,,
3,,,,,3,,,,,
4,,,,,4,,,,,
,,,,,,,,,,
Test Scenario,"Verify on entering valid userid and password, the customer can login",,,,,,,,,
,,,,,,,,,,
Step #,Step Details,,Expected Results,,Actual Results,,,Pass / Fail / Not executed / Suspended,,
,,,,,,,,,,
1,,,,,As Expected,,,Pass,,
2,,,,,As Expected,,,Pass,,
3,,,,,As Expected,,,Pass,,
4,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
